Population Locus A B
Pop1 locus_1811 105  39 
Pop1 locus_1812 149  13 
Pop1 locus_1813 131  27 
Pop1 locus_1814  74  84 
Pop1 locus_1815   8 150 
Pop1 locus_1816  50 104 
Pop1 locus_1817 120  36 
Pop1 locus_1818 100  28 
Pop1 locus_1819 102  46 
Pop1 locus_1820  14 144 
Pop1 locus_1821  52  84 
Pop1 locus_1822 120  22 
Pop1 locus_1823  22 120 
Pop1 locus_1824  21 135 
Pop1 locus_1825  16 134 
Pop1 locus_1826  10 128 
Pop1 locus_1827 114  22 
Pop1 locus_1828  20 134 
Pop1 locus_1829  68  96 
Pop1 locus_1830  68  96 
Pop1 locus_1831  17 149 
Pop1 locus_1832 119  13 
Pop1 locus_1833 117  13 
Pop1 locus_1834  78  48 
Pop1 locus_1835 138  26 
Pop1 locus_1836 153  11 
Pop1 locus_1837  13 151 
Pop1 locus_1838  13 151 
Pop1 locus_1839  19 143 
Pop1 locus_1840  14 150 
Pop1 locus_1841 150  14 
Pop1 locus_1842  37 119 
Pop1 locus_1843 130  32 
Pop1 locus_1844 125   7 
Pop1 locus_1845  20 114 
Pop1 locus_1846   8 124 
Pop1 locus_1847  31 117 
Pop1 locus_1848  97  53 
Pop1 locus_1849 102  28 
Pop1 locus_1850  70  68 
Pop1 locus_1851 144  22 
Pop1 locus_1852 126  38 
Pop1 locus_1853  12 116 
Pop1 locus_1854 120  20 
Pop1 locus_1855  21 121 
Pop1 locus_1856   9 135 
Pop1 locus_1857  20 120 
Pop1 locus_1858  39 101 
Pop1 locus_1859 137  21 
Pop1 locus_1860 152   8 
Pop1 locus_1861  20 136 
Pop1 locus_1862 105  39 
Pop1 locus_1863  63  87 
Pop1 locus_1864  93  59 
Pop1 locus_1865  35 121 
Pop1 locus_1866 152   8 
Pop1 locus_1867   9 155 
Pop1 locus_1868  14 150 
Pop1 locus_1869  82  76 
Pop1 locus_1870 128  34 
Pop1 locus_1871 138  12 
Pop1 locus_1872  34 112 
Pop1 locus_1873 112  34 
Pop1 locus_1874 126  18 
Pop1 locus_1875  29 117 
Pop1 locus_1876  26 116 
Pop1 locus_1877 134  16 
Pop1 locus_1878  12 140 
Pop1 locus_1879 139  11 
Pop1 locus_1880 140  20 
Pop1 locus_1881  90  74 
Pop1 locus_1882 135  21 
Pop1 locus_1883  14 122 
Pop1 locus_1884  58  74 
Pop1 locus_1885 135  11 
Pop1 locus_1886 149  13 
Pop1 locus_1887 103  39 
Pop1 locus_1888  23 127 
Pop1 locus_1889  25 131 
Pop1 locus_1890  23 127 
Pop1 locus_1891 115  47 
Pop1 locus_1892  30 114 
Pop1 locus_1893   8 150 
Pop1 locus_1894  21 135 
Pop1 locus_1895 118  36 
Pop1 locus_1896   9 147 
Pop1 locus_1897  21 135 
Pop1 locus_1898  13 121 
Pop1 locus_1899 140  10 
Pop1 locus_1900 139  11 
Pop1 locus_1901 137  11 
Pop1 locus_1902 131  17 
Pop1 locus_1903 105  25 
Pop1 locus_1904  98  36 
Pop1 locus_1905 122   8 
Pop1 locus_1906   9 157 
Pop1 locus_1907 103  63 
Pop1 locus_1908  13 119 
Pop1 locus_1909 107  21 
Pop1 locus_1910   9 137 
Pop1 locus_1911  32 106 
Pop1 locus_1912 138   8 
Pop1 locus_1913 146   8 
Pop1 locus_1914  10 140 
Pop1 locus_1915  15 151 
Pop1 locus_1916  16 150 
Pop1 locus_1917 136  28 
Pop1 locus_1918   8 134 
Pop1 locus_1919 136   8 
Pop1 locus_1920  16 136 
Pop1 locus_1921 136  18 
Pop1 locus_1922  11 141 
Pop1 locus_1923  24 122 
Pop1 locus_1924   8 130 
Pop1 locus_1925  14 124 
Pop1 locus_1926 143  19 
Pop1 locus_1927   8 126 
Pop1 locus_1928   7 125 
Pop1 locus_1929  15 135 
Pop1 locus_1930 112  46 
Pop1 locus_1931  35 125 
Pop1 locus_1932 122  26 
Pop1 locus_1933  20 124 
Pop1 locus_1934  20 126 
Pop1 locus_1935 131   9 
Pop1 locus_1936  20 126 
Pop1 locus_1937 128  12 
Pop1 locus_1938 136  18 
Pop1 locus_1939 106  44 
Pop1 locus_1940 128  28 
Pop1 locus_1941   8 152 
Pop1 locus_1942 121  19 
Pop1 locus_1943  17 141 
Pop1 locus_1944  11 129 
Pop1 locus_1945  11 129 
Pop1 locus_1946  20 134 
Pop1 locus_1947 138  16 
Pop1 locus_1948  32 122 
Pop1 locus_1949  90  38 
Pop1 locus_1950  37  89 
Pop1 locus_1951 104  40 
Pop1 locus_1952   9 139 
Pop1 locus_1953 133   7 
Pop1 locus_1954  26 116 
Pop1 locus_1955   9 135 
Pop1 locus_1956 133   9 
Pop1 locus_1957 153  11 
Pop1 locus_1958  30 128 
Pop1 locus_1959 123  11 
Pop1 locus_1960  21 115 
Pop1 locus_1961 126  14 
Pop1 locus_1962  26 112 
Pop1 locus_1963  15 133 
Pop1 locus_1964  15 133 
Pop1 locus_1965  11 141 
Pop1 locus_1966  10 132 
Pop1 locus_1967  24 134 
Pop1 locus_1968 123  17 
Pop1 locus_1969  11 137 
Pop1 locus_1970 124  22 
Pop1 locus_1971 126  14 
Pop1 locus_1972 108  32 
Pop1 locus_1973 125  29 
Pop1 locus_1974 138  22 
Pop1 locus_1975  95  65 
Pop1 locus_1976  31 115 
Pop1 locus_1977  25 107 
Pop1 locus_1978  40 122 
Pop1 locus_1979  18 120 
Pop1 locus_1980  69  81 
Pop1 locus_1981   9 153 
Pop1 locus_1982   7 123 
Pop1 locus_1983   7 123 
Pop1 locus_1984  70  74 
Pop1 locus_1985  29 131 
Pop1 locus_1986   7 123 
Pop1 locus_1987  67  85 
Pop1 locus_1988  85  67 
Pop1 locus_1989  87  57 
Pop1 locus_1990 130  22 
Pop1 locus_1991 155   9 
Pop1 locus_1992  11 145 
Pop1 locus_1993 129  21 
Pop1 locus_1994  15 127 
Pop1 locus_1995  16 134 
Pop1 locus_1996 128  14 
Pop1 locus_1997  50  78 
Pop1 locus_1998 147   9 
Pop1 locus_1999  76  52 
Pop1 locus_2000 129  23 
Pop1 locus_2001 129  23 
Pop1 locus_2002 129  21 
Pop1 locus_2003   9 135 
Pop1 locus_2004 145  11 
Pop1 locus_2005 142  12 
Pop1 locus_2006 142  12 
Pop1 locus_2007 144  12 
Pop1 locus_2008  50 104 
Pop1 locus_2009 144  12 
Pop1 locus_2010 146  12 
Pop1 locus_2011  34 112 
Pop1 locus_2012 122  34 
Pop1 locus_2013 121  11 
Pop1 locus_2014  24 140 
Pop1 locus_2015 150  14 
Pop1 locus_2016  10 140 
Pop1 locus_2017  14 126 
Pop1 locus_2018 147  17 
Pop1 locus_2019 129  15 
Pop1 locus_2020 129   9 
Pop1 locus_2021  33 115 
Pop1 locus_2022  34 114 
Pop1 locus_2023 105  43 
Pop1 locus_2024  45 101 
Pop1 locus_2025  32 112 
Pop1 locus_2026  20 138 
Pop1 locus_2027  60  80 
Pop1 locus_2028  71  79 
Pop1 locus_2029 124  28 
Pop1 locus_2030 113  29 
Pop1 locus_2031 145   9 
Pop1 locus_2032 123  11 
Pop1 locus_2033  63  99 
Pop1 locus_2034  14 124 
Pop1 locus_2035 123  11 
Pop1 locus_2036  76  60 
Pop1 locus_2037 133   7 
Pop1 locus_2038 153  11 
Pop1 locus_2039  13 153 
Pop1 locus_2040  15 145 
Pop1 locus_2041 149  13 
Pop1 locus_2042  52 108 
Pop1 locus_2043 114  32 
Pop1 locus_2044  17 133 
Pop1 locus_2045 130   8 
Pop1 locus_2046 132   8 
Pop1 locus_2047 131  13 
Pop1 locus_2048 120  22 
Pop1 locus_2049 123  25 
Pop1 locus_2050 143  11 
Pop1 locus_2051 143  11 
Pop1 locus_2052 121  41 
Pop1 locus_2053  99  53 
Pop1 locus_2054 106  42 
Pop1 locus_2055  80  72 
Pop1 locus_2056  34 126 
Pop1 locus_2057 143  17 
Pop1 locus_2058 104  54 
Pop1 locus_2059   9 147 
Pop1 locus_2060 132  18 
Pop1 locus_2061 128  18 
Pop1 locus_2062 113  25 
Pop1 locus_2063  21 131 
Pop1 locus_2064  25 135 
Pop1 locus_2065 153  11 
Pop1 locus_2066  12 148 
Pop1 locus_2067  25 131 
Pop1 locus_2068  10 122 
Pop1 locus_2069 155   9 
Pop1 locus_2070  22 130 
Pop1 locus_2071 112  42 
Pop1 locus_2072  21 141 
Pop1 locus_2073 124  30 
Pop1 locus_2074  30 126 
Pop1 locus_2075 140  22 
Pop1 locus_2076  45 111 
Pop1 locus_2077 148  10 
Pop1 locus_2078  12 144 
Pop1 locus_2079  58  78 
Pop1 locus_2080  13 129 
Pop1 locus_2081 123  31 
Pop1 locus_2082 123  31 
Pop1 locus_2083  28 130 
Pop1 locus_2084 126  26 
Pop1 locus_2085 126  26 
Pop1 locus_2086  23 121 
Pop1 locus_2087  15 129 
Pop1 locus_2088  39 101 
Pop1 locus_2089   9 135 
Pop1 locus_2090 129  11 
Pop1 locus_2091 140   8 
Pop1 locus_2092  41 103 
Pop1 locus_2093  49 117 
Pop1 locus_2094 154  12 
Pop1 locus_2095 153  13 
Pop1 locus_2096  95  67 
Pop1 locus_2097   9 137 
Pop1 locus_2098   9 137 
Pop1 locus_2099 122  10 
Pop1 locus_2100 114  16 
Pop1 locus_2101 123   9 
Pop1 locus_2102 100  56 
Pop1 locus_2103 126  38 
Pop1 locus_2104 123  11 
Pop1 locus_2105  12 152 
Pop1 locus_2106 128  32 
Pop1 locus_2107 136  24 
Pop1 locus_2108 149   9 
Pop1 locus_2109 148  10 
Pop1 locus_2110   8 150 
Pop1 locus_2111 145  13 
Pop1 locus_2112  19 137 
Pop1 locus_2113  26 110 
Pop1 locus_2114  11 153 
Pop1 locus_2115 117  45 
Pop1 locus_2116  36 110 
Pop1 locus_2117 133  13 
Pop1 locus_2118  36 110 
Pop1 locus_2119 131  13 
Pop1 locus_2120  12 128 
Pop1 locus_2121 130  18 
Pop1 locus_2122  15 137 
Pop1 locus_2123  16 142 
Pop1 locus_2124 128  24 
Pop1 locus_2125 126  26 
Pop1 locus_2126   9 141 
Pop1 locus_2127  29 121 
Pop1 locus_2128  12 116 
Pop1 locus_2129 120   8 
Pop1 locus_2130  20 126 
Pop1 locus_2131  27 135 
Pop1 locus_2132 122  28 
Pop1 locus_2133  15 141 
Pop1 locus_2134  82  60 
Pop1 locus_2135  81  63 
Pop1 locus_2136 114  28 
Pop1 locus_2137  67  71 
Pop1 locus_2138 116  34 
Pop1 locus_2139  57  87 
Pop1 locus_2140  57  87 
Pop1 locus_2141 155  11 
Pop1 locus_2142 155  11 
Pop1 locus_2143 109  47 
Pop1 locus_2144 133  21 
Pop1 locus_2145   8 148 
Pop1 locus_2146 102  38 
Pop1 locus_2147  18 138 
Pop1 locus_2148 104  40 
Pop1 locus_2149  11 145 
Pop1 locus_2150 123   9 
Pop1 locus_2151 124  10 
Pop1 locus_2152 142   8 
Pop1 locus_2153  12 148 
Pop1 locus_2154  48 108 
Pop1 locus_2155 149  11 
Pop1 locus_2156 155   9 
Pop1 locus_2157 114  50 
Pop1 locus_2158 154  12 
Pop1 locus_2159  16 150 
Pop1 locus_2160  17 147 
Pop1 locus_2161  19 145 
Pop1 locus_2162  98  52 
Pop1 locus_2163 134  20 
Pop1 locus_2164 136  20 
Pop1 locus_2165 133   9 
Pop1 locus_2166 135  17 
Pop1 locus_2167 128  30 
Pop1 locus_2168 125  25 
Pop1 locus_2169 149   9 
Pop1 locus_2170 109  57 
Pop1 locus_2171  16 136 
Pop1 locus_2172  16 134 
Pop1 locus_2173  13 117 
Pop1 locus_2174  14 146 
Pop1 locus_2175  50  88 
Pop1 locus_2176  98  52 
Pop1 locus_2177  19 125 
Pop1 locus_2178  82  62 
Pop1 locus_2179 150  12 
Pop1 locus_2180 121  19 
Pop1 locus_2181  66  70 
Pop1 locus_2182  13 147 
Pop1 locus_2183 143  19 
Pop1 locus_2184  69  77 
Pop1 locus_2185 124  26 
Pop1 locus_2186 115  33 
Pop1 locus_2187  28 118 
Pop1 locus_2188  25 105 
Pop1 locus_2189 108  24 
Pop1 locus_2190 129  11 
Pop1 locus_2191  27 111 
Pop1 locus_2192 133   7 
Pop1 locus_2193  50  98 
Pop1 locus_2194  15 139 
Pop1 locus_2195  62  86 
Pop1 locus_2196  92  52 
Pop1 locus_2197 109  49 
Pop1 locus_2198   9 129 
Pop1 locus_2199   8 132 
Pop1 locus_2200 140  22 
Pop1 locus_2201  18 140 
Pop1 locus_2202 124  18 
Pop1 locus_2203  91  39 
Pop1 locus_2204 103  35 
Pop1 locus_2205 127  15 
Pop1 locus_2206  37 103 
Pop1 locus_2207  19 139 
Pop1 locus_2208 101  57 
Pop1 locus_2209   9 151 
Pop1 locus_2210 150  10 
Pop1 locus_2211  13 147 
Pop1 locus_2212  44 112 
Pop1 locus_2213  13 147 
Pop1 locus_2214 148  12 
Pop1 locus_2215 146  20 
Pop1 locus_2216 145  21 
Pop1 locus_2217 136  30 
Pop1 locus_2218  10 128 
Pop1 locus_2219  95  45 
Pop1 locus_2220  41 123 
Pop1 locus_2221  90  48 
Pop1 locus_2222   8 138 
Pop1 locus_2223 131  21 
Pop1 locus_2224  22 130 
Pop1 locus_2225 137  23 
Pop1 locus_2226 131  25 
Pop1 locus_2227 110  36 
Pop1 locus_2228 118  18 
Pop1 locus_2229  56  78 
Pop1 locus_2230  89  71 
Pop1 locus_2231  27 133 
Pop1 locus_2232 147  13 
Pop1 locus_2233   9 155 
Pop1 locus_2234  23 129 
Pop1 locus_2235  67  81 
Pop1 locus_2236   9 131 
Pop1 locus_2237  21 135 
Pop1 locus_2238 130  30 
Pop1 locus_2239  85  59 
Pop1 locus_2240  61  83 
Pop1 locus_2241  18 140 
Pop1 locus_2242  20 118 
Pop1 locus_2243 156  10 
Pop1 locus_2244 156  10 
Pop1 locus_2245  10 150 
Pop1 locus_2246 150  10 
Pop1 locus_2247 121  15 
Pop1 locus_2248  23 109 
Pop1 locus_2249 125   7 
Pop1 locus_2250  13 117 
Pop1 locus_2251 134  22 
Pop1 locus_2252  18 138 
Pop1 locus_2253 148  10 
Pop1 locus_2254  25 129 
Pop1 locus_2255 141  17 
Pop1 locus_2256 153   9 
Pop1 locus_2257  31  97 
Pop1 locus_2258   9 123 
Pop1 locus_2259 142  22 
Pop1 locus_2260  10 154 
Pop1 locus_2261  18 126 
Pop1 locus_2262 134  16 
Pop1 locus_2263   8 144 
Pop1 locus_2264 123  21 
Pop1 locus_2265  11 141 
Pop1 locus_2266  11 141 
Pop1 locus_2267  35 127 
Pop1 locus_2268 127  35 
Pop1 locus_2269 128  14 
Pop1 locus_2270  92  46 
Pop1 locus_2271  82  56 
Pop1 locus_2272  64  90 
Pop1 locus_2273  21 141 
Pop1 locus_2274  12 128 
Pop1 locus_2275 156  10 
Pop1 locus_2276 156  10 
Pop1 locus_2277 114  34 
Pop1 locus_2278 137  27 
Pop1 locus_2279 128  12 
Pop1 locus_2280 117  19 
Pop1 locus_2281 130  10 
Pop1 locus_2282 146  10 
Pop1 locus_2283 152  10 
Pop1 locus_2284   8 128 
Pop1 locus_2285   7 131 
Pop1 locus_2286 129  15 
Pop1 locus_2287  20 124 
Pop1 locus_2288 124  20 
Pop1 locus_2289   8 142 
Pop1 locus_2290 141  19 
Pop1 locus_2291  32 124 
Pop1 locus_2292 146  10 
Pop1 locus_2293   8 136 
Pop1 locus_2294   8 144 
Pop1 locus_2295 110  20 
Pop1 locus_2296  20 110 
Pop1 locus_2297  65  71 
Pop1 locus_2298 116  24 
Pop1 locus_2299  22 116 
Pop1 locus_2300 112  26 
Pop1 locus_2301 137  13 
Pop1 locus_2302 131  17 
Pop1 locus_2303  11 135 
Pop1 locus_2304  25 129 
Pop1 locus_2305 150  12 
Pop1 locus_2306 153  11 
Pop1 locus_2307  17 123 
Pop1 locus_2308  14 130 
Pop1 locus_2309  80  64 
Pop1 locus_2310  23 121 
Pop1 locus_2311  16 128 
Pop1 locus_2312  29 115 
Pop1 locus_2313  93  39 
Pop1 locus_2314 136  20 
Pop1 locus_2315 116  32 
Pop1 locus_2316  30 116 
Pop1 locus_2317  79  67 
Pop1 locus_2318  44 102 
Pop1 locus_2319 140  18 
Pop1 locus_2320 136  12 
Pop1 locus_2321  30 132 
Pop1 locus_2322 151  11 
Pop1 locus_2323  45 109 
Pop1 locus_2324  45 109 
Pop1 locus_2325  13 151 
Pop1 locus_2326  18 148 
Pop1 locus_2327 148  18 
Pop1 locus_2328   8 140 
Pop1 locus_2329   9 125 
Pop1 locus_2330   9 135 
Pop1 locus_2331 121  11 
Pop1 locus_2332 143  11 
Pop1 locus_2333 142   8 
Pop1 locus_2334  76  54 
Pop1 locus_2335  13 133 
Pop1 locus_2336 124  18 
Pop1 locus_2337  80  62 
Pop1 locus_2338 132  18 
Pop1 locus_2339 147   9 
Pop1 locus_2340 121  31 
Pop1 locus_2341  18 134 
Pop1 locus_2342  82  62 
Pop1 locus_2343  94  62 
Pop1 locus_2344 139  19 
Pop1 locus_2345  44  98 
Pop1 locus_2346   9 145 
Pop1 locus_2347  12 134 
Pop1 locus_2348 134  12 
Pop1 locus_2349  11 115 
Pop1 locus_2350  13 133 
Pop1 locus_2351  45  89 
Pop1 locus_2352 116  12 
Pop1 locus_2353   9 143 
Pop1 locus_2354 131  15 
Pop1 locus_2355  12 134 
Pop1 locus_2356 114  30 
Pop1 locus_2357  43  99 
Pop1 locus_2358  42 122 
Pop1 locus_2359  93  71 
Pop1 locus_2360  94  70 
Pop1 locus_2361  90  68 
Pop1 locus_2362  45 117 
Pop1 locus_2363 137  27 
Pop1 locus_2364  84  70 
Pop1 locus_2365  91  63 
Pop1 locus_2366 129  15 
Pop1 locus_2367  25 135 
Pop1 locus_2368 106  52 
Pop1 locus_2369 151   9 
Pop1 locus_2370 111  21 
Pop1 locus_2371  95  41 
Pop1 locus_2372 130  22 
Pop1 locus_2373 110  32 
Pop1 locus_2374  60  80 
Pop1 locus_2375  17 131 
Pop1 locus_2376  38 106 
Pop1 locus_2377  36 108 
Pop1 locus_2378 148   8 
Pop1 locus_2379 126  10 
Pop1 locus_2380 130  10 
Pop1 locus_2381  15 137 
Pop1 locus_2382 140  12 
Pop1 locus_2383 139  13 
Pop1 locus_2384  24 138 
Pop1 locus_2385 150  12 
Pop1 locus_2386 117  39 
Pop1 locus_2387  10 148 

Pop2 locus_1  26   6 
Pop2 locus_2   6  26 
Pop2 locus_3   8  22 
Pop2 locus_4   2  30 
Pop2 locus_5  28   4 
Pop2 locus_6   8  24 
Pop2 locus_7  29   3 
Pop2 locus_8  12  18 
Pop2 locus_9  25   5 
Pop2 locus_10  25   5 
Pop2 locus_11   2  28 
Pop2 locus_12  22   4 
Pop2 locus_13   6  24 
Pop2 locus_14  28   2 
Pop2 locus_15   2  26 
Pop2 locus_16   2  26 
Pop2 locus_17  15  15 
Pop2 locus_18  15  15 
Pop2 locus_19  21   9 
Pop2 locus_20   9  21 
Pop2 locus_21  29   3 
Pop2 locus_22  26   4 
Pop2 locus_23  15  17 
Pop2 locus_24   4  28 
Pop2 locus_25   5  27 
Pop2 locus_26   4  28 
Pop2 locus_27   3  29 
Pop2 locus_28  19  11 
Pop2 locus_29   3  29 
Pop2 locus_30   3  27 
Pop2 locus_31  11  21 
Pop2 locus_32   4  22 
Pop2 locus_33   3  29 
Pop2 locus_34  17  13 
Pop2 locus_35   6  24 
Pop2 locus_36  27   3 
Pop2 locus_37  24   4 
Pop2 locus_38   7  25 
Pop2 locus_39  14  14 
Pop2 locus_40   9  21 
Pop2 locus_41  24   8 
Pop2 locus_42  17  15 
Pop2 locus_43  11  21 
Pop2 locus_44  24   8 
Pop2 locus_45  24   8 
Pop2 locus_46   4  28 
Pop2 locus_47  28   4 
Pop2 locus_48   3  25 
Pop2 locus_49   8  24 
Pop2 locus_50  26   6 
Pop2 locus_51  19  13 
Pop2 locus_52  14  12 
Pop2 locus_53  14  12 
Pop2 locus_54   8  20 
Pop2 locus_55   4  24 
Pop2 locus_56  21   7 
Pop2 locus_57  22   8 
Pop2 locus_58  30   2 
Pop2 locus_59  24   8 
Pop2 locus_60  13  17 
Pop2 locus_61   2  30 
Pop2 locus_62  28   2 
Pop2 locus_63   9  21 
Pop2 locus_64  11  19 
Pop2 locus_65   3  27 
Pop2 locus_66   2  26 
Pop2 locus_67   4  28 
Pop2 locus_68   7  21 
Pop2 locus_69   3  25 
Pop2 locus_70   2  30 
Pop2 locus_71  28   4 
Pop2 locus_72   2  30 
Pop2 locus_73   2  26 
Pop2 locus_74  28   2 
Pop2 locus_75  20  10 
Pop2 locus_76  10  20 
Pop2 locus_77  18  12 
Pop2 locus_78  23   7 
Pop2 locus_79   3  27 
Pop2 locus_80   3  27 
Pop2 locus_81   9  19 
Pop2 locus_82   4  26 
Pop2 locus_83   2  28 
Pop2 locus_84  23   5 
Pop2 locus_85  30   2 
Pop2 locus_86  26   4 
Pop2 locus_87   2  30 
Pop2 locus_88  16  12 
Pop2 locus_89  27   3 
Pop2 locus_90   8  22 
Pop2 locus_91  24   6 
Pop2 locus_92   7  23 
Pop2 locus_93   2  26 
Pop2 locus_94   5  25 
Pop2 locus_95  21   9 
Pop2 locus_96   6  24 
Pop2 locus_97   2  26 
Pop2 locus_98  15  13 
Pop2 locus_99  22   6 
Pop2 locus_100  27   5 
Pop2 locus_101   5  27 
Pop2 locus_102  18  10 
Pop2 locus_103   3  29 
Pop2 locus_104  25   3 
Pop2 locus_105   2  30 
Pop2 locus_106  12  20 
Pop2 locus_107  17   9 
Pop2 locus_108  28   4 
Pop2 locus_109  28   4 
Pop2 locus_110   5  23 
Pop2 locus_111   7  25 
Pop2 locus_112  30   2 
Pop2 locus_113   2  26 
Pop2 locus_114  28   2 
Pop2 locus_115  29   3 
Pop2 locus_116  29   3 
Pop2 locus_117  12  20 
Pop2 locus_118   4  24 
Pop2 locus_119  18  10 
Pop2 locus_120  10  18 
Pop2 locus_121  26   2 
Pop2 locus_122   4  22 
Pop2 locus_123  13  15 
Pop2 locus_124   4  28 
Pop2 locus_125   4  28 
Pop2 locus_126  29   3 
Pop2 locus_127  28   4 
Pop2 locus_128   5  27 
Pop2 locus_129  28   4 
Pop2 locus_130  27   5 
Pop2 locus_131  28   2 
Pop2 locus_132  30   2 
Pop2 locus_133  26   6 
Pop2 locus_134  16  14 
Pop2 locus_135  16  12 
Pop2 locus_136   3  29 
Pop2 locus_137  13  17 
Pop2 locus_138   5  27 
Pop2 locus_139   5  25 
Pop2 locus_140   6  26 
Pop2 locus_141   3  29 
Pop2 locus_142  27   5 
Pop2 locus_143   5  27 
Pop2 locus_144   7  23 
Pop2 locus_145  19  13 
Pop2 locus_146   2  30 
Pop2 locus_147  24   8 
Pop2 locus_148   2  30 
Pop2 locus_149  19  13 
Pop2 locus_150   2  26 
Pop2 locus_151  29   3 
Pop2 locus_152   3  27 
Pop2 locus_153  24   6 
Pop2 locus_154  23   5 
Pop2 locus_155  27   3 
Pop2 locus_156  27   3 
Pop2 locus_157  30   2 
Pop2 locus_158  24   6 
Pop2 locus_159   5  25 
Pop2 locus_160  26   2 
Pop2 locus_161   4  24 
Pop2 locus_162   2  26 
Pop2 locus_163   9  19 
Pop2 locus_164  19   9 
Pop2 locus_165  27   3 
Pop2 locus_166   3  27 
Pop2 locus_167   3  29 
Pop2 locus_168   3  29 
Pop2 locus_169  30   2 
Pop2 locus_170   6  22 
Pop2 locus_171   2  28 
Pop2 locus_172   7  23 
Pop2 locus_173   2  26 
Pop2 locus_174   8  20 
Pop2 locus_175  30   2 
Pop2 locus_176   2  30 
Pop2 locus_177  28   2 
Pop2 locus_178  25   5 
Pop2 locus_179   2  26 
Pop2 locus_180   4  28 
Pop2 locus_181  23   9 
Pop2 locus_182  29   3 
Pop2 locus_183   8  22 
Pop2 locus_184   8  22 
Pop2 locus_185   2  28 
Pop2 locus_186   7  23 
Pop2 locus_187  21  11 
Pop2 locus_188  26   6 
Pop2 locus_189  23   7 
Pop2 locus_190  25   7 
Pop2 locus_191  20  12 
Pop2 locus_192  26   2 
Pop2 locus_193  20   6 
Pop2 locus_194  18   8 
Pop2 locus_195  18  10 
Pop2 locus_196  24   4 
Pop2 locus_197   3  25 
Pop2 locus_198   5  27 
Pop2 locus_199  17  15 
Pop2 locus_200  15  17 
Pop2 locus_201   5  23 
Pop2 locus_202  28   2 
Pop2 locus_203  13  15 
Pop2 locus_204  20   8 
Pop2 locus_205   4  28 
Pop2 locus_206  22   6 
Pop2 locus_207   7  25 
Pop2 locus_208  13  19 
Pop2 locus_209   2  28 
Pop2 locus_210  15  13 
Pop2 locus_211   3  27 
Pop2 locus_212  19   9 
Pop2 locus_213  20   8 
Pop2 locus_214  20  10 
Pop2 locus_215   9  19 
Pop2 locus_216  16  14 
Pop2 locus_217   3  29 
Pop2 locus_218  28   4 
Pop2 locus_219  23   5 
Pop2 locus_220   5  27 
Pop2 locus_221   2  26 
Pop2 locus_222   3  25 
Pop2 locus_223   2  26 
Pop2 locus_224  25   3 
Pop2 locus_225  26   2 
Pop2 locus_226  20   8 
Pop2 locus_227  20   8 
Pop2 locus_228   2  28 
Pop2 locus_229  13  17 
Pop2 locus_230   3  23 
Pop2 locus_231  29   3 
Pop2 locus_232   5  27 
Pop2 locus_233   2  26 
Pop2 locus_234  13  19 
Pop2 locus_235  19  13 
Pop2 locus_236  30   2 
Pop2 locus_237  15  17 
Pop2 locus_238  26   6 
Pop2 locus_239  17  15 
Pop2 locus_240  28   2 
Pop2 locus_241  19  11 
Pop2 locus_242  26   6 
Pop2 locus_243  10  18 
Pop2 locus_244  23   7 
Pop2 locus_245  11  17 
Pop2 locus_246   5  23 
Pop2 locus_247  14  12 
Pop2 locus_248  29   3 
Pop2 locus_249  20  10 
Pop2 locus_250  22   4 
Pop2 locus_251  30   2 
Pop2 locus_252   4  24 
Pop2 locus_253   5  25 
Pop2 locus_254  25   5 
Pop2 locus_255  24   6 
Pop2 locus_256  21   5 
Pop2 locus_257  20   6 
Pop2 locus_258  30   2 
Pop2 locus_259   2  30 
Pop2 locus_260   4  26 
Pop2 locus_261  27   5 
Pop2 locus_262  28   4 
Pop2 locus_263  19  13 
Pop2 locus_264  12  20 
Pop2 locus_265  27   3 
Pop2 locus_266  20  10 
Pop2 locus_267  21  11 
Pop2 locus_268  12  18 
Pop2 locus_269   3  29 
Pop2 locus_270   3  27 
Pop2 locus_271   2  30 
Pop2 locus_272  30   2 
Pop2 locus_273  30   2 
Pop2 locus_274   6  24 
Pop2 locus_275  20  10 
Pop2 locus_276   8  24 
Pop2 locus_277   4  24 
Pop2 locus_278  21  11 
Pop2 locus_279  10  22 
Pop2 locus_280  26   6 
Pop2 locus_281  16  16 
Pop2 locus_282  28   2 
Pop2 locus_283   4  26 
Pop2 locus_284  26   2 
Pop2 locus_285  28   4 
Pop2 locus_286  26   6 
Pop2 locus_287   2  24 
Pop2 locus_288  20   8 
Pop2 locus_289   4  26 
Pop2 locus_290   4  26 
Pop2 locus_291  17  13 
Pop2 locus_292  22  10 
Pop2 locus_293  10  22 
Pop2 locus_294   3  29 
Pop2 locus_295  30   2 
Pop2 locus_296  21   9 
Pop2 locus_297  15  15 
Pop2 locus_298  22   6 
Pop2 locus_299  15  15 
Pop2 locus_300  10  20 
Pop2 locus_301  24   6 
Pop2 locus_302   3  25 
Pop2 locus_303   3  23 
Pop2 locus_304   2  28 
Pop2 locus_305  10  16 
Pop2 locus_306   8  24 
Pop2 locus_307  25   7 
Pop2 locus_308   5  27 
Pop2 locus_309  28   2 
Pop2 locus_310  22  10 
Pop2 locus_311   5  25 
Pop2 locus_312  21  11 
Pop2 locus_313   3  29 
Pop2 locus_314   3  29 
Pop2 locus_315  16  16 
Pop2 locus_316  16  16 
Pop2 locus_317  16  16 
